location,bhk,total_sqft,bath,price
Hormavu,2.0,1500.0,2.0,78.0
other,3.0,1870.0,3.0,110.0
Sarjapur,3.0,1600.0,3.0,75.0
Electronic City,2.0,880.0,1.0,16.5
other,4.0,1200.0,4.0,210.0
Kudlu Gate,3.0,1535.0,3.0,83.0
Kanakpura Road,2.0,950.0,2.0,57.0
Devanahalli,2.0,1360.0,2.0,65.0
8th Phase JP Nagar,2.0,1073.0,2.0,54.005
Bommasandra Industrial Area,3.0,1280.0,3.0,50.4
other,3.0,1260.0,2.0,85.05
Kasavanhalli,3.0,1563.05,3.0,105.0
ISRO Layout,2.0,1000.0,2.0,60.0
Anandapura,2.0,1167.0,2.0,43.76
Kothanur,3.0,1828.0,3.0,110.0
Kengeri Satellite Town,2.0,890.0,2.0,35.0
other,3.0,1612.0,3.0,46.74
Mysore Road,3.0,1710.0,4.0,91.31
Kannamangala,2.0,957.0,2.0,58.0
 Devarachikkanahalli,3.0,1250.0,2.0,44.0
other,3.0,2795.0,4.0,235.0
Hulimavu,2.0,1125.0,2.0,50.0
Electronic City Phase II,2.0,1020.0,2.0,30.6
Kalena Agrahara,2.0,1200.0,2.0,50.0
Thanisandra,3.0,1735.0,3.0,135.0
Thanisandra,3.0,2050.0,3.0,145.0
Mahalakshmi Layout,4.0,3750.0,4.0,760.0
other,3.0,1350.0,2.0,48.0
Hosa Road,2.0,1063.0,2.0,32.0
other,3.0,1904.0,3.0,150.0
Whitefield,4.0,4200.0,4.0,420.0
other,3.0,2000.0,3.0,175.0
Sarjapur,2.0,1242.0,2.0,43.49
other,3.0,1425.0,2.0,75.0
Electronic City,3.0,1500.0,2.0,64.5
Electronic City,2.0,1060.0,2.0,60.0
other,3.0,1470.0,2.0,70.0
Attibele,1.0,450.0,1.0,11.0
Electronic City,2.0,1152.0,2.0,64.5
Electronic City,3.0,1350.0,2.0,56.0
CV Raman Nagar,3.0,1550.0,3.0,65.0
other,3.0,1500.0,3.0,100.0
Nagavara,1.0,400.0,1.0,14.0
Malleshwaram,1.0,705.0,1.0,67.0
Electronic City,2.0,770.0,1.0,36.0
Hulimavu,2.0,1242.0,2.0,51.0
Hebbal Kempapura,3.0,1700.0,3.0,155.0
Thanisandra,3.0,2144.0,3.0,145.0
Vijayanagar,3.0,1704.0,3.0,110.0
Electronic City,2.0,1070.0,2.0,52.0
other,3.0,1846.0,3.0,300.0
other,2.0,1340.0,2.0,55.7
Electronic City,2.0,1025.0,2.0,46.0
KR Puram,2.0,1277.0,2.0,56.8
Marathahalli,2.0,1200.0,2.0,52.0
Kanakpura Road,4.0,2250.0,4.0,110.0
Pattandur Agrahara,3.0,1550.0,2.0,80.0
Bellandur,4.0,1200.0,5.0,325.0
Marathahalli,2.0,1200.0,2.0,60.0
Yelahanka,2.0,1327.0,2.0,98.0
Kothanur,2.0,1186.0,2.0,58.0
other,3.0,1783.0,3.0,115.0
HSR Layout,3.0,1400.0,3.0,56.0
Nagasandra,2.0,980.0,2.0,48.0
EPIP Zone,2.0,1285.0,2.0,82.0
other,3.0,912.0,2.0,70.0
Whitefield,2.0,1225.0,2.0,47.6
Whitefield,2.0,1075.0,2.0,53.0
Kadugodi,3.0,1260.0,2.0,54.0
Yelahanka,3.0,1282.0,2.0,48.7
Kogilu,3.0,1909.0,3.0,88.0
Panathur,2.0,1359.0,2.0,87.0
other,2.0,1207.0,2.0,43.5
Padmanabhanagar,4.0,1736.0,6.0,190.0
1st Block Jayanagar,4.0,2850.0,4.0,428.0
Kammasandra,3.0,1595.0,3.0,65.0
other,3.0,1798.0,3.0,89.0
Electronics City Phase 1,3.0,1475.0,3.0,78.29
other,3.0,1580.0,3.0,100.0
Dasarahalli,2.0,1295.0,2.0,65.0
Electronic City,1.0,589.0,1.0,27.0
other,3.0,1415.0,3.0,78.0
Sarjapur  Road,3.0,1787.0,3.0,98.29
Sarjapur  Road,3.0,1787.0,3.0,125.0
Koramangala,3.0,1475.0,2.0,90.0
other,4.0,2000.0,4.0,75.5
Sarjapur  Road,2.0,984.0,2.0,44.28
Devanahalli,3.0,1630.0,2.6926096474673513,74.82
other,3.0,2405.0,4.0,260.0
7th Phase JP Nagar,2.0,1080.0,2.0,72.0
other,2.0,1500.0,2.0,115.0
Hebbal,3.0,1900.0,3.0,119.0
Dommasandra,2.0,805.0,2.0,22.14
Budigere,2.0,1153.0,2.0,56.4
other,2.0,1148.0,2.0,60.0
other,2.0,1110.0,2.0,55.0
Electronic City,2.0,1100.0,2.0,42.0
Kalyan nagar,2.0,1290.0,2.0,110.0
other,3.0,1500.0,2.0,65.0
other,2.0,1080.0,2.0,39.0
Vijayanagar,3.0,1933.0,3.0,129.0
other,2.0,1060.0,2.0,60.0
Chandapura,1.0,645.0,1.0,16.45
Chandapura,1.0,645.0,1.0,16.45
other,3.0,1644.0,3.0,84.0
other,2.0,1285.0,2.0,72.5
Electronic City,3.0,1200.0,3.0,90.0
Electronic City,2.0,910.0,2.0,40.0
Kothanur,3.0,1577.0,3.0,70.0
other,3.0,4050.0,3.0,280.0
OMBR Layout,3.0,2420.0,3.0,185.0
Chandapura,2.0,800.0,1.0,20.0
other,2.0,1060.0,2.0,55.0
7th Phase JP Nagar,2.0,1270.0,2.0,93.0
other,2.0,900.0,2.0,22.5
other,2.0,1280.0,2.0,69.0
Horamavu Agara,4.0,1200.0,2.0,95.0
Sarjapur  Road,2.0,1025.0,2.0,36.0
Electronic City,2.0,1108.0,2.0,63.0
other,3.0,3045.0,3.0,170.0
Ambedkar Nagar,4.0,2900.0,3.0,300.0
Vijayanagar,3.0,1500.0,3.0,75.5
Raja Rajeshwari Nagar,2.0,1295.0,2.0,43.9
Budigere,2.0,1162.0,2.0,59.9
Sarjapur  Road,2.0,1035.0,2.0,49.2
Attibele,4.0,1600.0,4.0,52.8
other,3.0,1464.0,3.0,46.0
Hennur Road,3.0,1866.0,2.0,61.58
other,2.0,700.0,1.0,26.0
Kalena Agrahara,3.0,1804.0,3.0,120.0
Sarjapur,2.0,913.0,2.0,32.0
Talaghattapura,3.0,1868.0,3.0,131.0
Kengeri Satellite Town,2.0,883.0,2.0,45.0
other,2.0,900.0,2.0,110.0
Kogilu,3.0,1664.0,2.0,73.95
Hegde Nagar,3.0,2026.0,3.0,132.0
Balagere,2.0,1210.0,2.0,80.9
other,4.0,4111.0,4.0,250.0
Kadugodi,3.0,1762.0,3.0,91.45
Jigani,3.0,1252.0,3.0,55.0
Gollarapalya Hosahalli,2.0,861.0,2.0,34.5
7th Phase JP Nagar,3.0,1420.0,2.0,100.0
Electronics City Phase 1,3.0,1490.0,3.0,78.8
Bisuvanahalli,3.0,1075.0,2.0,46.0
Old Madras Road,3.0,1425.0,2.0,94.0
Kalena Agrahara,2.0,1200.0,2.0,40.0
Kaggadasapura,3.0,1280.0,2.0,56.0
other,2.0,1084.0,2.0,50.0
Chandapura,2.0,1015.0,2.0,25.88
Kanakpura Road,2.0,1017.0,2.0,51.25
Haralur Road,2.0,1027.0,2.0,44.0
Electronic City Phase II,2.0,1069.0,2.0,45.0
Hebbal,2.0,1349.0,2.0,98.2
9th Phase JP Nagar,2.0,1005.0,2.0,50.0
Jakkur,2.0,1417.0,2.0,75.0
TC Palaya,3.0,1475.0,3.0,98.0
other,2.0,950.0,2.0,47.0
other,4.0,2000.0,4.0,120.0
Giri Nagar,3.0,880.0,3.0,140.0
Sarjapur  Road,4.0,1863.0,3.0,104.0
Singasandra,2.0,1010.0,2.0,29.5
Kalena Agrahara,3.0,1425.0,2.0,70.0
Vijayanagar,3.0,1450.0,3.0,100.0
Kothanur,3.0,1847.0,3.0,105.0
AECS Layout,2.0,1100.0,2.0,45.0
Kanakpura Road,1.0,525.0,1.0,26.0
Mallasandra,3.0,1665.0,3.0,95.0
Begur,4.0,1664.0,4.0,65.0
JP Nagar,3.0,1850.0,3.0,150.0
Panathur,2.0,1438.0,2.0,100.0
other,3.0,1560.0,3.0,115.0
Yelahanka,2.0,1350.0,2.0,55.55
Kanakpura Road,3.0,1550.0,3.0,67.0
Malleshpalya,2.0,1140.0,2.0,46.5
other,2.0,850.0,2.0,27.0
Whitefield,2.0,1280.0,2.0,75.0
Munnekollal,2.0,1170.0,2.0,52.0
other,2.0,1113.0,2.0,51.0
Hennur Road,2.0,1385.0,2.0,83.09
Electronic City,2.0,1128.0,2.0,65.0
Marathahalli,2.0,1200.0,2.0,128.0
other,4.0,1200.0,4.0,165.0
Rajaji Nagar,3.0,2390.0,3.0,415.0
Giri Nagar,4.0,2400.0,4.0,400.0
Haralur Road,3.0,1464.0,3.0,56.0
other,2.0,1200.0,2.0,55.0
Kaval Byrasandra,2.0,1200.0,2.0,52.0
Kaggalipura,3.0,1150.0,2.0,55.0
other,3.0,1645.0,3.0,95.0
Sarjapur  Road,2.0,1000.0,2.0,67.0
Haralur Road,4.0,2650.0,4.0,198.0
6th Phase JP Nagar,2.0,1192.0,2.0,74.0
Ulsoor,3.0,2135.0,3.0,215.0
Whitefield,2.0,1173.0,2.0,58.0
Uttarahalli,2.0,1020.0,2.0,45.0
Thigalarapalya,4.0,3122.0,6.0,230.0
Somasundara Palya,3.0,1600.0,3.0,64.0
other,2.0,1200.0,2.0,79.0
other,2.0,1230.0,2.0,48.0
 Devarachikkanahalli,2.0,1250.0,2.0,40.0
Kalena Agrahara,2.0,1325.0,2.0,76.0
7th Phase JP Nagar,3.0,1850.0,3.0,150.0
Kanakpura Road,1.0,525.0,2.6926096474673513,21.53
Basaveshwara Nagar,2.0,1200.0,2.0,65.0
other,3.0,1350.0,2.0,140.0
Bommasandra,3.0,1260.0,3.0,49.36
other,3.0,1800.0,3.0,150.0
other,3.0,11.0,3.0,74.0
Ardendale,2.0,1100.0,2.0,43.25
Harlur,2.0,1508.0,2.0,77.0
other,3.0,1592.0,3.0,75.0
Akshaya Nagar,2.0,1388.0,2.0,57.0
Electronic City Phase II,1.0,630.0,1.0,28.35
other,3.0,2000.0,3.0,365.0
other,3.0,1762.0,3.0,125.0
other,2.0,950.0,2.0,50.0
Kodihalli,4.0,3252.0,5.0,335.0
Magadi Road,2.0,1116.0,2.0,50.0
Narayanapura,2.0,1308.0,2.0,89.04
other,3.0,1200.0,3.0,90.0
other,4.0,1500.0,4.0,230.0
Bannerghatta Road,1.0,500.0,1.0,18.5
Hennur,2.0,1075.0,2.0,52.0
Chandapura,1.0,530.0,1.0,11.66
Bellandur,2.0,1205.0,2.0,66.0
5th Phase JP Nagar,2.0,1075.0,2.0,60.0
KR Puram,2.0,930.0,2.0,39.0
Balagere,2.0,1380.0,2.0,60.0
Hebbal,4.0,2483.0,5.0,212.0
Kodigehaali,2.0,1166.0,2.0,55.0
Bannerghatta Road,2.0,1050.0,2.0,65.0
other,3.0,2023.71,3.0,275.0
Begur Road,2.0,1200.0,2.0,46.8
Lakshminarayana Pura,3.0,1600.0,2.0,108.0
Billekahalli,3.0,1935.0,3.0,110.0
8th Phase JP Nagar,1.0,451.0,1.0,29.9
Electronic City,3.0,1800.0,3.0,95.0
Jalahalli,3.0,1400.0,3.0,77.0
Hegde Nagar,3.0,1801.0,3.0,115.0
Mahadevpura,2.0,1451.0,2.0,90.0
Anekal,2.0,1200.0,1.0,36.0
Begur Road,2.0,1160.0,2.0,44.0
Kengeri,2.0,1000.0,2.0,25.0
Kanakpura Road,2.0,950.0,2.0,40.0
other,3.0,1629.0,3.0,79.0
Vijayanagar,3.0,1580.0,2.0,134.0
Vijayanagar,3.0,1826.0,3.0,121.0
7th Phase JP Nagar,2.0,1245.0,2.0,94.0
Raja Rajeshwari Nagar,2.0,1145.0,2.0,45.79
Sompura,2.0,825.0,2.0,33.0
Yeshwanthpur,3.0,1693.0,3.0,108.0
Electronics City Phase 1,2.0,1113.27,2.0,53.0
other,2.0,1460.0,2.0,58.0
Doddathoguru,2.0,1050.0,2.0,32.0
Dodda Nekkundi,2.0,1260.0,2.0,55.0
Hosur Road,2.0,1656.0,2.0,120.0
Chandapura,3.0,1208.0,3.0,45.0
Whitefield,3.0,1910.0,3.0,161.0
Whitefield,4.0,3252.0,4.0,230.0
Battarahalli,2.0,1200.0,2.0,65.0
other,4.0,1200.0,4.0,175.0
7th Phase JP Nagar,2.0,1175.0,2.0,82.0
other,2.0,1000.0,2.0,165.0
Bannerghatta Road,4.0,1200.0,2.0,125.0
Rajaji Nagar,3.0,2390.0,3.0,410.0
Sultan Palaya,2.0,550.0,1.0,62.0
Kengeri,1.0,1559.6234104263974,1.0,18.5
other,2.0,1185.0,2.0,38.0
Kengeri,2.0,750.0,2.0,38.0
Kanakpura Road,3.0,1550.0,3.0,64.5
other,3.0,1760.0,3.0,88.0
Billekahalli,2.0,1125.0,2.0,62.0
Nagarbhavi,3.0,1350.0,3.0,150.0
Anandapura,2.0,1000.0,2.0,55.0
Bommasandra Industrial Area,2.0,1090.0,2.0,31.48
TC Palaya,2.0,1200.0,2.0,60.0
Budigere,3.0,1991.0,4.0,103.0
Bommasandra,2.0,1060.0,2.0,26.5
Ambalipura,2.0,1105.0,2.0,75.0
Hoodi,2.0,985.0,2.0,67.0
Balagere,3.0,1590.0,3.0,79.0
CV Raman Nagar,2.0,1120.0,2.0,55.0
other,2.0,1069.0,2.0,55.0
Marathahalli,3.0,1933.0,3.0,140.0
Hosur Road,2.0,1194.0,2.0,69.0
Brookefield,2.0,1150.0,2.0,69.0
Yelenahalli,2.0,1240.0,2.0,47.12
Raja Rajeshwari Nagar,2.0,1419.0,2.0,48.1
other,3.0,2150.0,4.0,240.0
other,3.0,1450.0,3.0,55.0
other,3.0,1630.0,3.0,68.29
Dasanapura,2.0,708.0,1.0,40.0
Kasavanhalli,3.0,1000.0,4.0,110.0
Whitefield,4.0,11890.0,4.0,700.0
Bellandur,2.0,1250.0,2.0,76.0
7th Phase JP Nagar,3.0,1400.0,2.0,95.0
Sarjapur  Road,3.0,1670.0,2.0,57.0
Ardendale,3.0,1750.0,3.0,100.0
Vittasandra,2.0,1404.0,2.0,71.0
Hoodi,3.0,1715.0,2.0,95.0
Electronic City,1.0,630.0,1.0,34.65
Harlur,3.0,1752.12,3.0,135.0
Hulimavu,3.0,1650.0,3.0,78.0
Raja Rajeshwari Nagar,2.0,1295.0,2.0,55.47
Giri Nagar,3.0,1800.0,3.0,252.0
Sarjapur  Road,2.0,1346.0,2.0,74.03
other,4.0,1200.0,4.0,200.0
Hormavu,2.0,1150.0,2.0,55.0
other,4.0,3309.0,4.0,325.0
Chandapura,3.0,1190.0,2.0,30.35
AECS Layout,3.0,1620.0,3.0,98.0
Marathahalli,2.0,950.0,2.0,46.96
Harlur,3.0,2450.0,3.0,120.0
Electronic City Phase II,3.0,1220.0,2.0,35.23
other,2.0,850.0,2.0,30.0
Padmanabhanagar,2.0,1020.0,2.0,63.0
Chikkalasandra,2.0,1100.0,2.0,50.0
other,2.0,1150.0,2.0,126.0
Hebbal,3.0,1760.0,2.0,130.0
Ambalipura,3.0,1800.0,3.0,110.0
Akshaya Nagar,2.0,1070.0,2.0,54.0
2nd Stage Nagarbhavi,4.0,1500.0,4.0,220.0
Vidyaranyapura,2.0,1440.0,2.0,95.0
Amruthahalli,2.0,900.0,2.0,40.0
other,4.0,1200.0,4.0,230.0
Whitefield,2.0,1130.0,2.0,42.16
Koramangala,2.0,1320.0,2.0,165.0
Kodigehalli,2.0,1270.0,2.0,98.0
other,2.0,1200.0,2.0,62.0
other,4.0,4800.0,4.0,235.0
other,2.0,1200.0,2.0,74.0
Subramanyapura,2.0,929.0,2.0,50.17
other,4.0,1150.0,4.0,260.0
Basavangudi,4.0,1125.0,4.0,180.0
other,3.0,1464.0,3.0,56.0
7th Phase JP Nagar,4.0,3600.0,4.0,400.0
other,4.0,2000.0,4.0,99.0
Chikkalasandra,2.0,1208.0,2.0,49.0
Hebbal Kempapura,2.0,1130.0,2.0,60.0
other,3.0,1753.0,3.0,120.0
Banjara Layout,3.0,600.0,3.0,58.0
Hoodi,2.0,1196.0,2.0,94.42
5th Phase JP Nagar,2.0,1150.0,3.0,52.5
Electronic City,2.0,1128.0,2.0,63.0
other,2.0,1000.0,2.0,53.0
Yelahanka,2.0,1035.0,2.0,45.0
Kereguddadahalli,2.0,950.0,2.0,32.0
Bisuvanahalli,3.0,1075.0,2.0,36.0
Whitefield,2.0,1040.0,2.0,48.5
other,2.0,720.0,2.0,45.0
Lingadheeranahalli,3.0,1511.0,3.0,95.0
other,3.0,1300.0,3.0,58.0
Hoodi,3.0,1545.0,3.0,68.75
Shampura,1.0,375.0,2.0,26.0
Vidyaranyapura,2.0,1062.0,2.0,38.0
other,2.0,1115.0,2.0,40.0
JP Nagar,2.0,1000.0,2.0,35.0
Kambipura,2.0,883.0,2.0,45.0
Sarjapur  Road,2.0,1195.0,2.0,70.0
other,4.0,1200.0,3.0,165.0
other,1.0,700.0,1.0,41.0
Vittasandra,2.0,1246.0,2.0,67.0
8th Phase JP Nagar,4.0,660.0,4.0,90.0
Banashankari Stage III,4.0,8500.0,4.0,145.0
other,4.0,1600.0,4.0,80.0
Haralur Road,4.0,2805.0,5.0,154.0
Begur Road,3.0,1584.0,3.0,65.0
Sector 7 HSR Layout,4.0,3000.0,5.0,275.0
Hosur Road,3.0,1175.0,2.0,48.0
other,3.0,1595.0,3.0,115.0
other,2.0,1353.0,2.0,110.0
Electronic City,3.0,1599.0,3.0,125.0
Whitefield,2.0,1150.0,2.0,70.0
Jakkur,4.0,5230.0,6.0,465.0
KR Puram,2.0,1155.0,2.0,42.74
other,1.0,1200.0,2.0,85.0
Electronic City Phase II,2.0,1000.0,2.0,25.0
Thanisandra,4.0,3000.0,4.0,120.0
Rajiv Nagar,3.0,1867.0,3.0,160.0
Ramagondanahalli,2.0,1251.0,2.0,47.0
other,2.0,1028.0,2.0,45.5
Arekere,2.0,1222.0,2.0,45.0
Bannerghatta Road,3.0,1170.0,2.0,66.0
Hebbal,3.0,2400.0,4.0,245.0
other,3.0,1385.0,2.0,48.48
HSR Layout,2.0,1372.0,2.0,68.0
Magadi Road,3.0,1282.0,2.0,49.0
Kanakpura Road,2.0,1135.0,2.0,39.73
Whitefield,3.0,1768.0,3.0,101.0
other,3.0,1325.0,2.0,90.0
Electronic City,3.0,1599.0,3.0,99.0
Whitefield,3.0,1500.0,3.0,61.95
other,3.0,2610.0,3.0,499.0
Uttarahalli,2.0,1286.0,2.0,63.0
other,3.0,1600.0,2.0,50.0
Hennur Road,2.0,1317.0,2.0,63.77
Hebbal,3.0,3450.0,5.0,260.0
Munnekollal,2.0,1102.0,2.0,53.67
Yelahanka,2.0,1350.0,2.0,54.0
Banashankari,3.0,1200.0,2.0,42.0
other,2.0,1800.0,1.0,80.0
Chikkabanavar,2.0,950.0,2.0,40.0
Kanakpura Road,1.0,525.0,1.0,27.25
Attibele,2.0,656.0,2.0,25.0
Marathahalli,4.0,1780.0,4.0,175.0
other,2.0,1056.0,2.0,80.0
Bannerghatta Road,1.0,595.0,1.0,33.32
other,2.0,1080.0,2.0,50.0
7th Phase JP Nagar,3.0,2225.0,3.0,160.0
Bommasandra,2.0,1126.0,2.0,28.15
Electronics City Phase 1,3.0,1490.0,3.0,84.0
HRBR Layout,4.0,2000.0,4.0,300.0
Sarjapur  Road,3.0,1550.0,3.0,100.0
other,2.0,1160.0,2.0,55.0
Whitefield,4.0,4144.0,4.0,315.0
Sarjapur  Road,3.0,2100.0,3.0,125.0
Vittasandra,2.0,1404.0,2.0,69.3
Sarjapur  Road,4.0,2230.0,4.0,225.0
other,3.0,1544.0,3.0,120.0
Banashankari Stage III,3.0,1305.0,2.0,58.7
Marathahalli,2.0,1230.0,2.0,80.0
other,2.0,1200.0,2.0,65.0
Harlur,3.0,1460.0,3.0,73.0
Sarjapur  Road,2.803743235117258,1800.0,2.6926096474673513,34.185
Gottigere,2.0,967.0,2.0,45.0
other,1.0,540.0,1.0,36.0
Hormavu,1.0,715.0,1.0,46.0
Whitefield,3.0,2500.0,3.0,313.0
other,3.0,1578.0,3.0,180.0
Mysore Road,2.0,1020.0,2.0,48.95
Jigani,2.0,1020.0,2.0,40.0
Koramangala,2.0,1253.0,2.0,102.0
other,2.0,1180.0,2.0,42.0
Nehru Nagar,2.0,961.0,2.0,38.0
Kanakapura,3.0,1419.0,3.0,75.0
Harlur,3.0,1709.0,3.0,150.0
other,2.0,1600.0,2.0,115.0
other,1.0,416.0,1.0,18.5
Sanjay nagar,2.0,1100.0,2.0,98.0
HSR Layout,3.0,1430.0,2.0,65.0
other,2.0,1260.0,2.0,45.0
other,3.0,1630.0,3.0,85.0
Sarjapur  Road,3.0,1249.0,3.0,44.71
Kalena Agrahara,3.0,1450.0,2.0,85.0
Konanakunte,3.0,2791.0,3.0,223.0
other,1.0,600.0,1.0,90.0
other,1.0,834.0,1.0,60.0
other,3.0,1125.0,4.0,70.0
Arekere,3.0,2060.0,3.0,140.0
Gottigere,2.0,891.0,2.0,25.0
Raja Rajeshwari Nagar,2.0,1133.0,2.0,49.07
Bisuvanahalli,3.0,1075.0,2.0,37.0
other,4.0,3000.0,5.0,260.0
Brookefield,4.0,2440.0,5.0,425.0
Vidyaranyapura,2.0,1200.0,2.0,55.0
Thanisandra,2.0,1075.0,2.0,45.8
Kaggadasapura,2.0,1140.0,2.0,40.0
Raja Rajeshwari Nagar,2.0,1090.0,2.0,42.0
R.T. Nagar,4.0,1500.0,4.0,70.0
Whitefield,4.0,4104.0,4.0,360.0
Whitefield,3.0,1790.0,3.0,100.0
Hebbal,3.0,1920.0,3.0,134.0
HRBR Layout,2.0,1374.0,2.0,95.0
Bannerghatta Road,3.0,1445.0,3.0,95.0
Kanakapura,1.0,711.0,1.0,36.0
Tumkur Road,3.0,1500.0,3.0,95.0
Whitefield,3.0,1720.0,3.0,100.0
Vasanthapura,3.0,1400.0,3.0,60.0
Kundalahalli,2.0,1030.0,2.0,49.0
Mysore Road,2.0,1200.0,2.0,85.0
other,3.0,1375.0,3.0,70.0
Hegde Nagar,2.0,1050.0,1.0,56.0
Jalahalli,3.0,2250.0,3.0,160.0
Bellandur,2.0,1000.0,2.0,50.0
